EP01: IN
EP01: はあ？ | 啊？
EP01: そういうあんたはなんで宇宙人信じてんの | 你呢 你为什么相信外星人存在
EP01: それは別にいいじゃないですか | 这很要紧吗
EP01: 何それ　なんもないの | 什么意思 没有理由吗
EP01: 好きなものに理由が必要なんですか | 喜欢什么东西还需要理由吗
EP01: まあ　確かに | 嗯 倒也是
EP01: ていうか　オカルト君 | 对了 超自然君
EP01: 電話越しだとシャキシャキしゃべるね | 打电话你倒是很健谈嘛
EP01: そうですか | 是吗
EP01: 綾瀬さんはなんか話しやすいというか… | 我只是觉得绫濑同学很好说话…
EP01: オッパイ吸わせてやるからよお | 给你吸吸我的奶子
EP01: イチモツしゃぶらせろ | 让我舔舔你的小弟弟
EP01: 出たあ | 有鬼啊
EP01: 待って　そこで走っちゃダメ | 等等 不能跑
EP01: ちょっと　オカルト君 | 喂 超自然君
EP01: ウソだ　ありえない | 假的 不可能
EP01: あれはただのおばあちゃんだ | 那只是个普通老太太
EP01: ちょっ… | 喂…
EP01: 今すぐ止まって | 马上停下
EP01: たぶん　そうだ | 应该就是那样
EP01: ただのおばあちゃんだ | 只是普通老太太
EP01: ネットにヤバいって書いてあんの | 网上说这样很危险
EP01: たぶんジブンの見間違えっす | 应该是我看错了
EP01: ただのエロいおばあちゃんに遭遇しただけでした | 只是撞见了一个好色的老太太
EP01: そこのヤツには絶対抜かれちゃダメだって | 一定不要被那家伙追上
EP01: ターボババアにかけっこで負けたら | 要是被高速婆婆追上的话
EP01: 呪われるんだよ | 会被诅咒的
EP01: ちょっ　オカルト君　聞いてる | 喂 超自然君 你在听吗
EP01: もしもし　返事してよ | 喂 回个话
EP01: ウソでしょ | 不是吧
EP01: 今からそっち向かうから　ちょっと待ってて | 我现在就过去 你再撑会
EP01: 何あれ　ホントやめてほしい | 什么玩意 别开玩笑了
EP01: こんにちは　女のヒト | 你好 人类女性
EP01: 我々は「セルポ星人」 | 我们是「塞伯星人」
EP01: 惑星セルポから来たので　そう名乗ってます | 我们来自塞伯星 所以叫塞伯星人
EP01: 宇宙人？ | 外星人？
EP01: 怖がらないで　我々は友好的なヒトたちです | 请不要害怕 我们都很友善
EP01: 友好的なヤツは女の子を裸にしたりしねえんだよ | 把女孩子的衣服脱光叫友善吗
EP01: ウチの服どこ | 我的衣服呢
EP01: あなたの荷物はしっかりと管理してありマス | 你的物品我们已妥善保管
EP01: ボロボロじゃねえかよ　弁償しろ | 都稀巴烂了 给我赔钱
EP01: ていうか　帰りたいんだけど　これ外してくんない | 还有 我想回去了 能给我解开吗
EP01: 我々の種は雄しかいません | 我们种族只有雄性
EP01: だからクローン技術によって　個体を増やしてマス | 所以只能通过克隆技术增加个体
EP01: ウチの話　聞いてんの | 你有听我说话吗
EP01: しかし　同じ個体だと生物的進化が起こらず | 但仅靠相同个体无法实现生物进化
EP01: 葛藤や喜怒哀楽が消滅してしまいました | 矛盾也随喜怒哀乐一同消失了
EP01: なので　我々は人間のような生殖機能を取り戻すために | 所以为了取回像人类一样的生殖机能
EP01: あなた方の「性器」が欲しいのです | 我们想要你们的「性器」
EP01: 今からセックスします | 接下来我们要和你交配
EP01: あなたとセックスしたあと　子宮やバナナを摘出して研究します | 交配完后 我们会取出你的子宫和性器进行研究
EP01: ふざけんな | 开什么玩笑
EP01: クソみたいな男とつきあっちゃったけど　処女だけは守り抜いてきたんだよ | 虽然曾跟渣男交往 但我好歹守住了自己的处女
EP01: まだ見ぬ高倉健のために守り抜いてきた貞操を | 为素未谋面的高仓健守护至今的贞操
EP01: こんなキモい宇宙人に奪われてたまるか | 怎能被你们这种恶心的外星人夺走
EP01: ムラムラしてもらうために「サイコキネシス」で脳波をコントロールします | 我们会用「精神念力」控制你的脑波 点燃你的欲火
EP01: どうですか　だんだんと体が熱くなってきたでしょう | 感觉怎么样 身体渐渐热起来了吧
EP01: なんと　念力にあらがいますか | 什么 居然能抵抗念力
EP01: すごい精神力ですね | 真是强大的精神力
EP01: しかし　始めましょう | 但是 该开始了
EP01: イヤ | 不要
EP01: やめー | 住手
EP01: 電話？ | 电话？
EP01: タイミングの悪い方がいるようで | 真不会挑时候
EP01: 綾瀬さん　ごめんなさい | 抱歉 绫濑同学
EP01: 幽霊いました | 真的有幽灵
EP01: ターボババアに呪われちゃいました | 我被高速婆婆诅咒了
EP01: オカルト君　よかった | 超自然君 太好了
EP01: とりあえず助けて | 总之快救我
EP01: 何者ですか　スマホを使って侵入してくるとは | 你是什么人 能透过智能手机入侵
EP01: あんな技術　我々にもない | 连我们都没掌握这项技术
EP01: 助けてください | 救救我
EP01: ジブンをコントロールできませ | 我控制不了自己
EP01: イチモツしゃぶらせろやあ | 让我舔舔你的小弟弟
EP01: ちょっと　しっかりしてよ | 喂 你振作点
EP01: そこの男のヒト | 那边的人类男性
EP01: あなたの進入は許可していません | 你没有进入这里的许可
EP01: ただちに出ていきなさい | 请立即离开
EP01: そうでなければ | 否则
EP01: バナナをください | 就把性器交出来
EP01: キモッ | 恶心
EP01: 六根 | 六根
EP01: 速い　念力が定まらない | 好快 念力来不及集中
EP01: 我々の大切なバナナを | 居然夺走我们重要的性器
EP01: このバナナ泥棒 | 你这性器强盗
EP01: セルポ式測量法 | 塞伯式测量法
EP01: オカルト君 | 超自然小子
EP01: こんな好戦的なヒトは初めてです | 这么好战的人类还是第一次遇到
EP01: 我々は人間と友好関係を結んでるんですから | 我们跟人类缔结了友好关系
EP01: バナナはください | 请把性器交出来
EP01: あげますよ　ジブンのだったらなんでも | 给你 要什么我都给
EP01: ずっと宇宙人に会いたかったんだから | 我一直想见到外星人
EP01: こちとら友達がいないから | 我一直没朋友
EP01: 宇宙人なら友達になってくれるんじゃないかって | 所以我寄希望于跟外星人交朋友
EP01: 小学生のころから空に向かって　ずっとユーフォー呼んでたんですよ | 从小学起我就一直对着天空呼唤UFO
EP01: でも来なかった | 但你们没来
EP01: いくら呼んでもジブンのとこには現れてくれなかったんだ | 不管我怎么呼唤你们都没来过
EP01: 人間にはヒマつぶしにイジメられて | 被其他人类当作消遣欺负
EP01: 宇宙人には気にも留められない | 外星人也不在意我
EP01: 誰もジブンの存在を認めてくれなかった | 没人认可我的存在
EP01: でも綾瀬さんは… | 但是绫濑同学她…
EP01: そんなジブンをかばってくれたんですよ | 保护了这样的我
EP01: だから彼女に触るなあ | 所以你们不要碰她
EP01: 彼女を傷つけるヤツは許さない | 我不会原谅伤害她的人
EP01: 彼女のためなら | 只要是为了她
EP01: バケモノにだってなってやる | 变成怪物我也在所不辞
EP01: がんばれ　オカルト君 | 加油 超自然君
EP01: 男を見せろ | 展现你的男子气概
EP01: ファイ | 发射
EP01: 綾瀬さん　やっぱムリっぽいです | 绫濑同学 我好像打不过
EP01: ちょっと　諦め早くない | 喂 你放弃得也太快了吧
EP01: あなたのような凶暴なヒト　友達にはなれません | 你这样凶暴的人类 没法和我们做朋友
EP01: それに我々は男のヒトより　女のヒトのほうが好きです | 而且比起人类男性 我们更喜欢人类女性
EP01: さあ　もう一度ムラムラしましょう | 来吧 再次燃起欲火吧
EP01: 「氣」を出して | 释放出「气」来
EP01: ヤダ　それ | 我不要
EP01: 毎日毎日バカにされるんだよ　それ　友達にさ | 我每天都因为这个被朋友们嘲笑
EP01: 何言ってんだ | 你说什么呢
EP01: 「氣」を出していれば　事故にも病気にもならん | 释放「气」可以隔绝不幸与疾病
EP01: 悪いもんが近寄って来れん | 脏东西无法靠近你
EP01: まず　お腹の下に力を入れて | 首先 把力量集中在下腹部
EP01: 頭の先から「氣」をピーンと出すイメージ | 想象把「气」从头顶释放出
EP01: またやってるぜ | 又开始了
EP01: 変なの | 真是怪人
EP01: 宇宙人と交信でもしてんのか | 在跟外星人通信吗
EP01: もうヤダ　二度とやんない | 不要 我再也不做了
EP01: モモ　待ちなさい | 桃 你等一下
EP01: ばあちゃんなんて大嫌い | 我最讨厌奶奶了
EP01: エセ霊媒師 | 骗子灵媒师
EP01: なんでこんな時に昔のこと | 为什么我这时会想起以前的事
EP01: ごめんね　おばあちゃん | 抱歉 奶奶
EP01: あの時はただ恥ずかしかっただけだよ | 那时候我只是觉得太丢脸了
EP01: お腹の下に力を入れて | 把力量集中在下腹部
EP01: 頭の先から「氣」を… | 把「气」从头顶…
EP01: ウソ | 不是吧
EP01: 綾瀬さん　超能力使えたんですか | 绫濑同学 你会用超能力吗
EP01: いや　ウチもビックリだわ | 不 我也很惊讶
EP01: なんと　私の念力が押し戻される | 什么 我的念力被推回来了
EP01: なぜだ | 为什么
EP01: まさか脳波を刺激しすぎたせいで | 难道是我们过度刺激她的脑波
EP01: 女のヒトの「チャクラ」が開いてしまったのか | 激活了她的「脉轮」吗
EP01: 本物だった | 是真的
EP01: おばあちゃんは本物の霊媒師だった | 奶奶是真正的灵媒师
EP01: ありがとう　おばあちゃん | 谢谢你 奶奶
EP01: これなら　クズ男を… | 这样一来 就能把渣男…
EP01: ぶっ飛ばせるわい | 揍飞了
EP01: 何これ　ユーフォーだったんかい | 怎么回事 我在UFO上吗
EP01: オカルト君　大丈夫 | 超自然小子 你没事吧
EP01: ここから逃げるよ | 我们得快逃出这里
EP01: イッター | 好痛
EP01: 何してんだよ　バカ | 你干什么 笨蛋
EP01: 正気に戻りやがれ　こんにゃろお | 快给我清醒过来 你这笨蛋
EP01: ターボババア？ | 高速婆婆？
EP01: 何もんだ　てめえ | 你是什么人
EP01: 呪いが解けてない | 诅咒还没解除
EP01: ババアが体から抜けたのに | 婆婆的附身明明解除了
EP01: そいつのイチモツは　ワシが持ってんだよ | 他的小弟弟在我手里
EP01: ワシがイチモツを持ってるかぎり　小僧の呪いは解けねえ | 只要小弟弟还在我手里 他的诅咒就无法解除
EP01: 返してほしけりゃ　トンネルに来い | 想拿回去的话 就到隧道来
EP01: ここはワシには遠すぎる | 这里对我来说太远了
EP01: トンネルなら存分に相手してやるぜ　ケバいババア | 在隧道里我就能尽情消遣你了 花哨婆婆
EP01: 誰がケバいババアだ　クソババア | 你说谁花哨 臭老太婆
EP01: こいつのアソコ返せ | 把他的那玩意还来
EP01: ヤバい　とりあえず脱出しないと死ぬ | 不妙 再不逃出去我们都要死
EP01: しっかりしろ　このバカ | 给我振作点 你这笨蛋
EP01: 逃げるぞ | 要逃了
EP01: 最低 | 糟透了
EP01: 信じるわ　宇宙人 | 我相信有外星人了
EP01: てか誘拐されたし | 毕竟都被绑架了
EP01: ジブンも幽霊　信じます | 我也信有幽灵了
EP01: 呪われましたから | 毕竟都被诅咒了
EP01: んで　どうする　これから | 接下来怎么办
EP01: どうしましょうか | 该怎么办呢
EP01: あんたは超能力で呪いを抑えておかないと暴走するし | 我不用超能力抑制诅咒的话 你就会失控
EP01: すいません | 非常抱歉
EP01: ウチは制服も財布もスマホも　全部なくした | 我的校服 钱包 手机也都没了
EP01: どうしたら　この呪い解けるんですかね | 究竟怎样才能解除诅咒呢
EP01: そんなの　ターボババアぶっ倒すしかないっしょ | 只能打倒高速婆婆了吧
EP01: 呪いの元なんだし | 毕竟她是诅咒的源头
EP01: なるほど | 原来如此
EP01: じゃあ　ジブン　ちょっと行ってきます | 那我去找她一趟
EP01: 今から？ | 现在就去？
EP01: 綾瀬さんはジブンの服着て帰ってください | 绫濑同学就穿着我的衣服回家吧
EP01: ちょっと　ウチがいなきゃ暴走するよ | 等一下 我不在的话你会失控的
EP01: こんなことになったのも　全部　ジブンのせいなんで | 事情会变成这样 都是我的错
EP01: これ以上綾瀬さんを巻き込めないです | 我不能再连累绫濑同学了
EP01: どうにか根性でトンネルまで行きますから | 吊着一口气我也会撑到隧道
EP01: そのあとは　どうにかします | 接下来我会自己想办法
EP01: なんで一緒に来てって言えないの | 为什么不叫我一起去
EP01: さっきの経験しちゃったらほっとけないじゃん | 一起经历了那些 我哪能置身事外
EP01: さっきだって　ウチいなかったら　あんた死んでたよ | 刚刚也是 要是我不在你早就死了
EP01: いいんですか | 这样好吗
EP01: ジブンなんかに協力しても… | 就算帮我这种人…
EP01: そういうのめんどくさい | 你这性格麻烦死了
EP01: ほら　服着て | 好啦 快穿衣服
EP01: 行くよ | 走吧
EP01: すいません | 对不起
EP01: ジブン　不器用なんで | 我这个人比较笨拙
EP01: 綾瀬さん　服着てください | 绫濑同学 你还是穿上衣服吧
EP01: そうでないと　まともにしゃべれません | 不然我都没法跟你好好说话
EP01: ウソ　なんでドキドキしてんの | 不会吧 我怎么心跳加速了
EP01: 違うって | 不对
EP01: たまたま　高倉健のセリフを言ったからビックリしただけ | 他只是碰巧说出高仓健的台词 害我吓了一跳
EP01: いったん落ち着け　私 | 我要冷静下来
EP01: ねえ　そういえば名前なんだっけ | 对了 你叫什么来着
EP01: ウチ　名前覚えるの苦手でさ | 我不太擅长记名字
EP01: 高倉健です | 我叫高仓健
EP01: 本当にいましたよ　宇宙人 | 竟然真的存在外星人
EP01: 幽霊だっていただろうが | 幽灵不也真的存在吗
EP01: 宇宙人と幽霊の実在が証明されたということは | 既然证明了外星人和幽灵的存在
EP01: 超自然現象やUMA | 那超自然现象和UMA
EP01: これまでデタラメだと言われてきたものの実在も… | 这些被世人视为无稽之谈的东西也…
EP01: ああ　わかった　わかった | 好啦 别说了
EP01: せーのっ | 预备
EP01: 次回「それって宇宙人じゃね」 | 下集 「那不是外星人吗」
EP01: ちょっと　合わせろ | 喂 你配合一下啊
EP01: #这不就是恋爱的开端
EP01: #这不就是恋爱的开端
EP01: #注：日本男演员高仓健的名台词
EP01: #火星上，似乎存在着相比地球生物更加高级的类爬虫人文明。美国政府与外星人的关系想必各位读者都了解。他们1957年与外星人签订的正式条约中做出了如下规定。以默许外星人的人体实验为条件，换取他们的技术支持。外星人从不与美国以外的国家签订条约。猜测美国政府秘密建造的基地也用到了外星人提供的技术。美国之所以签订如此条约，想必是为了将美国民众送往火星，借此从法律上确立火星的领土主张，建立宇宙级别的霸权。
EP01: #光明会与类爬虫人的关系!?
EP01: #住在火星的爬虫类种族类爬虫人。没有翅膀的一支被称作蜥蜴人。他们具有智慧并建立了文明与类爬虫人交涉火星与地球的权力 
EP01: #1970年代美国中央情报局(CIA)与国防高级研究计划局(DARP)共同秘密推进的火星移民计划，通称「飞马计划」。据传这项计划不仅是为了移民火星，同时也在进行传送和时间机器的研究，并且这些技术已经研究完成。有关证人放到后面介绍，美军利用传送技术秘密运送研究人员和士兵前往建设火星基地，已经建成了国家军事据点。这些内容或许让人难以置信，但已经有数项证据能证明其可信。以环境生物学家及律师，安德鲁·巴席雅格为首的内部人员揭露了飞马计划的详细情况。据安德鲁所说，飞马计划从1960年代一直持续到1970年代。他于幼年时期加入这项计划，并参加了时间旅行的实验。参与飞马计划的一环去往过去和未来，体验过在各种各样的时空见中移动。随后，一名CIA精英特工找到了19岁的巴席雅格，并问他是否想去火星，而他也没能忍住诱惑，答应了前往火星。据说参与传送实验的人也包括年轻时的前大总统……。
EP01: #火星探测器正在调查。采集土壤成分，进行环境观测 谜团重重的火星。据说这颗星球的某处建有美国和外星人的基地 飞马计划的全貌！
EP01: #大总统已经去了火星!!
EP01: #与类爬虫人交涉火星与地球的权力!!
EP01: #火星权力!?
EP01: #UAP的超强机动性!!
EP01: #美军机密情报公开
EP01: #美国国防总部「五角大楼」公开了过去74年间无视的UFO相关目击情况报告书。海军飞行员承认其拍摄到的UFO影像属实，将UFO定义为UAP(Unidentified Aerial Phenomenon 不明空中现象)，声称可能是他国侦察机或是未知兵器，并以此展开调查。美国国家航空航天局NASA也参与了UAP的调查。原海军飞行员公开的画面震惊了整个世界，2004年11月，航母「尼米兹号」在海上训练中遇上了名为「Tic tac」的UAP，它突然出现并以极快的速度降落到了水中。
EP01: #奥马哈拍摄的UAP照片，同一时间各个方向都有UAP接近
EP01: #所谓太空军，就是继陆军、海军、空军、海军陆 战队、海岸警卫队后，美国的第六作战部队。正是地球制UFO群星研发成功才让五角大楼下定决心改组太空军。正是在如此背景下他们才公开了UAP及其威胁的存在，才公开了本次提到的报告书。太空军的纲领是……
EP01: #手持「UAP报告书」讲话的美国电视记者乔治·佩帕德
EP01: #改组『太空军』
EP01: #面对前来挑衅监视的UAP，五角大楼是否拟定了特殊情况的应对策略呢？当然，他们早已有所准备，其名为「TR-3A, 代号: 群星」。这是美国空军秘密研发的一种UFO型战斗机，一种「地球制UFO」。如同其名称一样，三角形的机体搭配反重力引擎，有着不逊于UFO的飞行性能。
EP01: #UAP与国家安全保障的威胁
EP01: #雷达捕捉到的UAP，通称「Glmbal」
EP01: #162起目击事件的分析调查
EP01: #航空宇宙防卫队诞生!!
EP01: #战斗机「F-2A/B」 航空自卫队「宇宙作战部」的标志 将来的宇宙防卫构想
EP01: #自卫队也总算提出了应对方针，新设了「航空宇宙作战队」。这支新的部队与美国太空军有着紧密联系，想必了解该领域的读者也早已知晓。尽管自卫队与美军的联系越发紧密，但双方显然都隐瞒了作战计划。接下来，我们将探讨由军事合理性推导出的可怕事实。「航空宇宙作战队」的任务是监视宇宙状况，为了保护我国的人造卫星，他们需要时常监视太空垃圾和他国卫星。该部队与美军太空军共享可能造成威胁的太空垃圾数据、新出现的太空垃圾以及出现可疑活动的人工卫星等信息。其中也包括并非人造的「人工物体」。
EP01: #航空自卫队改名「航空宇宙自卫队」!!
