EP01: IN
EP01: おはよう　ニコラ | 早上好 妮可拉
EP01: 何が | 什么不行
EP01: やっぱりって？ | 果然是指？
EP01: なに | 怎么了
EP01: どうして | 怎么回事
EP01: なんで… | 为什么…
EP01: ごめん | 抱歉
EP01: 仕方が…仕方がないんです | 我做不到…没有办法
EP01: ごめんなさい　ニコラさん | 对不起 妮可拉小姐
EP01: これは　負けイベントなんです | 这是剧情杀
EP01: ホイモイドラゴンに無理やり勝っても | 就算强行打败了霍伊莫伊龙
EP01: 村が全滅するシナリオは変わらない | 也改变不了村子被毁的结局
EP01: どんな条件でも　ちゃんと村が全滅するか | 确认是否在任何条件下村子都会毁灭
EP01: 確かめることが僕の仕事なんです | 这就是我的工作
EP01: シーカーっていうのは　このゲーム内の設定で | 所谓探索者 只是游戏中的设定
EP01: 何を　言ってるの | 你在说什么
EP01: 僕のホントの仕事は | 我真正的工作
EP01: ゲーム内のバグをチェックして報告する役目 | 是检查游戏内的bug并进行报告
EP01: デバッガーなんです | 只是一名调试员
EP01: クエストの破棄を繰り返して | 我一次次放弃任务
EP01: いろいろな条件で　何度も君が死ぬのを見てきました | 目睹你在各种条件下死去
EP01: でも　もう終わりにします | 但是 已经结束了
EP01: ジンさん | 神先生
EP01: スズキさん ナミコさん クロちゃん | 铃木先生 波子小姐 小黑
EP01: 「キングス・シーカー・オンライン」？ | 「王国探索者Online」？
EP01: トリプルＡタイトルじゃないですか | 这不是三A大作吗
EP01: しかも完全体感型VR | 而且还是完全沉浸式VR
EP01: すっげえ | 好厉害
EP01: ワクワクが止まらん | 真让人兴奋
EP01: ニシマテック５名　ログインします | 二岛科技五名 开始登录
EP01: ハガちゃんのアバター　マッチョすぎ | 羽贺的角色也太壮了
EP01: そすかね | 是吗
EP01: クロちゃんよりは控えめですけど | 比起小黑来说收敛很多了
EP01: 報告は　このデバッグストーンを使って行います | 我们要通过这个调试石进行报告
EP01: IDで紐付けされてるから　なくさないように | 它是和ID绑定的 记住不要弄丢
EP01: わかってると思うけど　デバッグモードは基本的に使用禁止ね | 我想大家应该都明白 调试模式基本是禁止使用的
EP01: 時間感覚　わかんなくなってきたんだけど | 我开始搞不清时间了
EP01: うん　おかしくなりそう | 嗯 感觉快要疯了
EP01: クロちゃん　デバッグモードは禁止って言っただろう | 小黑 不是说了禁止使用调试模式吗
EP01: ログアウトできないって何 | 为什么不能退出游戏
EP01: 俺らずっとゲームの中に閉じ込められるってことじゃないですか | 我们要一直被关在游戏里吗
EP01: 報告は上がってるんですよね | 报告已经上传了吧
EP01: あれから　ゲーム内時間で１年ほど | 自那以来 被关在游戏中约一年
EP01: 臆病でクソ真面目な僕だけがまだ無事でいるけど | 只有胆小又死脑筋的我还安然无恙
EP01: 地道に仕事して　バグを報告し続ければ | 只要我脚踏实地地工作 不断报告bug
EP01: いつかここから出られるんだろうか | 是不是总有一天能从这里出去
EP01: そうだ　ホイモイドラゴンを倒せることがそもそもバグかも | 对了 能打倒霍伊莫伊龙本身可能也是个bug
EP01: 忘れないうちに概要をまとめておこう | 趁还没忘先把概要记下来
EP01: 誰か来た　イベント？ | 有人来了 特殊事件？
EP01: いや　そんなわけない | 不 没这个可能
EP01: もしかして　戻ってきたのか | 难道他们回来了吗
EP01: スズキさん？ナミコさん？クロちゃん？ | 铃木先生？波子小姐？小黑？
EP01: ニ…ニコラさん？ | 妮…妮可拉小姐？
EP01: 君はさっき… | 你刚刚…
EP01: 君はさっき… | 你刚刚…
EP01: 僕の目の前で燃え尽きたはず | 应该在我眼前燃烧殆尽了
EP01: ニコラ　君もバグ？ | 妮可拉 你也是bug？
EP01: #这个世界漏洞百出
EP01: #费尔纳克大陆
EP01: #怒涛之海
EP01: #银诸岛
EP01: #克莱伯恩岛
EP01: #沙漠
EP01: #维尔索德帝国
EP01: #贝伊鲁王国
EP01: #斯塔马乌联合国
EP01: #赛因公国
EP01: #利奥诺王国
EP01: #贝伊鲁王国
EP01: #路伊萨村
EP01: #打工的妮可拉
EP01: #王国探索者
EP01: #第1天　第21天　第31天　第41天　第51天
EP01: #日期 4/21 4/21
EP01: #负责人 羽贺 羽贺
EP01: #种类 音效 敌人
EP01: #优先级 B B
EP01: #概要 石碑的属性 变成了金属 霍伊莫伊龙 出现异常行为
EP01: #详细 石碑的属性变为金属，用东西 敲击会发出金属击打声。 ※于贤者洞窟附近发现 第一章节「灾难的开始」中， 出现在萨冈高原的霍伊莫伊龙 出现了如下异常
EP01: #再现 10/10
EP01: #其他 将依序确认 其他地区
EP01: #修复确认
EP01: #王国探索者
EP01: #克莱伯恩岛各领主为调查蔓延全岛的灾难，召集全国的冒险者组织为直属精锐部队。这些人被称为「王国探索者」。
EP01: #克莱伯恩岛的西南区域有什么，人们目前一无所知，也有传言那里是一片桃源乡，住着古代王国的后代。但是，由于海上波涛汹涌，调查人员都是有去无回。
EP01: #攻击 循环？
EP01: OUT

EP02: IN
EP02: 完全体感型VRゲーム「キングス・シーカー・オンライン」 | 完全沉浸式VR游戏「王国探索者Online」
EP02: ゲーム内のバグをチェックする　デバッガーとしてログインした僕たちが | 为了检查bug 以调试员身份登入游戏的我们
EP02: なぜかログアウトできなくなって　１年が過ぎていた | 不知道为何无法登出 在游戏中过了一年
EP02: それでもデバッグ作業を続けていた僕は | 这段时间 我继续着测试作业
EP02: ある村で奇妙な体験をする | 在某个村子里遇上了奇妙的事
EP02: クエスト中で死ぬはずだった村人の少女　ニコラが | 任务中本应死亡的村中少女妮可拉
EP02: なぜか生き返って現れたのだ | 不知为何死而复生
EP02: やっぱり生きてる | 果然 她还活着
EP02: 燃え尽きる村を何度も見た | 一次次目睹村子被烧毁
EP02: クエストを繰り返して　見すぎておかしくなったか | 不断重复任务导致我精神失常了吗
EP02: 何度も | 一次又一次
EP02: 何度も | 一次又一次
EP02: 何度も | 一次又一次
EP02: いや　ダメだ | 不 不行
EP02: ゲームとして死ぬ予定のこの子が　ここにいちゃダメなんだよ | 本应在游戏中死亡的她 不该存在于这里
EP02: 追記報告 | 追加报告
EP02: ハガさん | 羽贺先生
EP02: おはようございます | 早上好
EP02: イテ… | 好痛…
EP02: 大丈夫ですか | 你没事吧
EP02: はい | 没事
EP02: ハガさん　この樽どうしますか | 羽贺先生 这些桶怎么办
EP02: 一つは念のため持って行きますが | 以防万一 带一个走
EP02: あとは破棄するつもりです | 其余的打算扔掉
EP02: わかりました　じゃあ　外にまとめておきますね | 明白了 那我先摆在外面
EP02: なんでもやりますから　いくらでも言いつけてください | 我什么都能做 有事尽管吩咐
EP02: はい | 好的
EP02: こっちにまとめた荷物　どうしましょう | 这里堆积的行李 怎么办呢
EP02: 後から来た人が使うかもしれないので | 后来的人可能会用到
EP02: そのままで大丈夫です | 就这样放着吧
EP02: なるほど　他のシーカー様に託すんですね | 原来如此 是要留给其他探索者吧
EP02: ハガさん　これってもう使わないんですか | 羽贺先生 这个已经没用了吗
EP02: そうですね | 是啊
EP02: じゃあ　もらっていいですか | 那可以给我吗
EP02: どうぞ | 可以
EP02: ありがとうございます | 非常感谢
EP02: どうです | 怎么样
EP02: ハガさんの弟子っぽく見えますか | 看起来像羽贺先生的弟子吗
EP02: はい　まあ | 是 挺像的
EP02: じゃあ　ハガさん　出発しましょう | 那羽贺先生 我们出发吧
EP02: あの　村の皆さんは | 那个 村里的人呢
EP02: いや　その… | 就是 那个…
EP02: ニコラさんがいなくて　大丈夫なのかなって | 妮可拉不在了 没问题吗
EP02: はい　みんなにはやめとけって言われました | 是的 虽然大家都劝我不要走
EP02: でも　やっぱりシーカー様と旅をしたいですって　出てきたんです | 但我还是想和探索者一起旅行 于是跑出来了
EP02: そういう設定になっているのか | 变成这样的设定了吗
EP02: ずっと　外の世界に憧れてたんです | 我一直很憧憬外面的世界
EP02: これで　伝説のモンスターと戦ったり | 终于可以和传说中的魔物战斗
EP02: 幻の秘宝を探したりできます | 寻找梦幻的秘宝了
EP02: そういうんじゃないんだけどな | 可能跟你想的不太一样
EP02: あのね　ニコラさん　君はね… | 那个 妮可拉 你其实…
EP02: はい | 怎么了
EP02: とりあえず　行きましょうか | 总之先出发吧
EP02: はい | 好的
EP02: これから　各地の異変を報告するために　ベイル城に向かいます | 为了报告各地的异变 我们要前往贝伊鲁城
EP02: ですが　途中の街や村でもチェックはします | 但也会检查沿途的村子和城镇
EP02: 差し当たってはこの　アダンの街です | 首先会经过这座阿旦镇
EP02: はい | 好的
EP02: この世界は一見平和ですが | 这个世界看起来很和平
EP02: よく見るとバグ… | 细看其实bug…
EP02: つまりその　いびつさに溢れてます | 应该说充满了异常
EP02: 注意深く行きましょう | 小心前进吧
EP02: はい | 好的
EP02: さて　どうしよう | 接下来怎么办呢
EP02: ここがアダンですか | 这里就是阿旦吗
EP02: すっごく大きな街ですね | 好大一座小镇啊
EP02: そうですね | 是啊
EP02: あの人は冒険者さんかな | 那个人是冒险者吗
EP02: あの人たちも | 那些人也是吗
EP02: あ　宿とるなら任せてください | 对了 住店的话就交给我吧
EP02: バッチリねぎって | 我很会讲价的
EP02: って　あれ | 奇怪 人呢
EP02: ハガさん? | 羽贺先生？
EP02: ハガさん | 羽贺先生
EP02: ハガ…ハガさん | 羽…羽贺先生
EP02: ハガさん | 羽贺先生
EP02: ど…うしたんですか | 你…你怎么了
EP02: すみません　ちゃんと説明しますね | 抱歉 我忘记跟你说明了
EP02: これがデバッグの仕事です | 这就是测试的工作
EP02: デバッグ？ | 测试？
EP02: シーカーとしてのお仕事の一つですよね | 是探索者工作的一部分吗
EP02: 一つというか　ほとんどですが | 差不多可以说是全部吧
EP02: まあ　とにかく | 总之
EP02: こういった壁がある場合 | 只要看到有这种墙
EP02: まず　どこかに隙間があるんじゃないかと疑うことが必要なんです | 首先就要考虑是否会有缝隙存在
EP02: 疑う？ | 考虑？
EP02: でも隙間なんて見た感じ　全然 | 但是 看着完全没有缝隙啊
EP02: 見た目だけではわからないから | 只用眼睛看是没法确认的
EP02: こうしていろいろチェックするんです | 所以才需要像这样用各种手段检查
EP02: それで何かおかしなことがあったら　記録します | 一旦发现什么奇怪的地方 就先记下来
EP02: なるほど | 我明白了
EP02: ニコラさんもやってみましょう | 你也来试一下吧
EP02: まずは　こういう簡単なチェックから覚えてもらおう | 先从这些简单的检查开始教起吧
EP02: 私だって | 我也行
EP02: ハガさんは　ずっと一人でこんな過酷な仕事を | 羽贺一直独自做着这么辛苦的工作
EP02: 何してんだ | 他们在干什么
EP02: なんか怖い | 感觉有点吓人
EP02: 一周して　問題なしですね | 转了一圈了 看来没什么问题
EP02: はい | 是的
EP02: じゃあ　おやどは… | 我们去住店…
EP02: 待ってください | 等一下
EP02: 「一周しただけで確認した」というのは危険です | 「只检查一遍就下定论」这种想法是很危险的
EP02: そういうときほど　なにかあるもんです | 越是这种时候 越可能有东西被遗漏
EP02: ジャンプしたり　いろんな角度からぶつかるとかして　工夫しましょう | 跳起来从不同的角度撞击着继续检查吧
EP02: さあ　もう一周 | 来吧 再来一圈
EP02: 門の脇の塔二つも　今日中に済ませますよ | 城门边上的两座塔也要在今天检查完
EP02: いや　なんとか今日の分済みましたね | 总算是把今天的工作给搞完了
EP02: 今夜はここで野営ということで | 今晚就在这里露营吧
EP02: 街の外側にはまだ塔が残ってますし | 城外还有几座塔没有检查
EP02: 明日はもう一周して　それから街に入りましょう | 明天先检查一圈再进城吧
EP02: ニコラさん　大丈夫 | 妮可拉 你没事吧
EP02: いきなり飛ばしすぎちゃったかな | 今天太辛苦累坏了吗
EP02: すみません | 抱歉
EP02: 今日一日のこと思い出したら　おかしくって | 回想起今天发生的事情 太好笑了
EP02: 二人で壁にぶつかって　ボロボロになるなんて | 两个人不停地撞墙 弄得一身破破烂烂的
EP02: まあ　客観的に見たら変だよね | 确实 客观地说确实挺奇怪的
EP02: 仲間とこうやって話しながら仕事するのは久しぶりだ | 好久没像这样和同伴一边聊天一边工作了
EP02: そうか | 原来如此
EP02: 僕はなんだかんだ言って　寂しかったんだな | 说来说去 原来是我觉得孤独了
EP02: この子についての報告は　今はまだしなくていいか | 妮可拉的异常报告 暂时先不提交吧
EP02: さっ　今日のことをまとめたら寝ようか | 把今天的工作总结一下就睡吧
EP02: あの | 那个
EP02: そういえばハガさん　今は一人っておっしゃってましたよね | 你说过你现在是一个人 对吧
EP02: お仲間はどうされてるんですか | 你的同伴们呢
EP02: この街を調べ終わったら　挨拶に行かなきゃとは思ってるんだ | 等检查完这座小镇 也是该去看看他们了
EP02: 街にも入らず　なーにやってんの | 你们不进城 在这里干什么呢
EP02: イベント？こんなところで？ | 特殊事件？在这种地方？
EP02: 君かわいいね | 你挺可爱嘛
EP02: ハガさん | 羽贺先生
EP02: どちらさまでしょう | 请问你们是谁
EP02: 我々は　賢帝ベイルの命を受けて　各地を調査しているシーカーです | 我们是受贤帝贝伊鲁任命 于各地进行调查的探索者
EP02: 何か問題でも | 你们有什么事情吗
EP02: シーカー | 探索者
EP02: なるほどそうか　シーカーねえ | 原来如此 你们是探索者啊
EP02: デバッグお疲れ | 测试辛苦了
EP02: ハガさん | 羽贺先生
EP02: ハガさん | 羽贺先生
EP02: 挨拶代わりのサプライズ | 惊喜的见面礼
EP02: あれ　ちょっとはウケてくださいよ | 喂 你也笑一下嘛
EP02: カブトンの中でニヤニヤしてんすか | 不会是在头盔里面偷笑吧
EP02: ハッドムッツリさんなんすから | 你这闷骚的家伙
EP02: デバッグストーン？ | 调试石？
EP02: 同業者だ | 是同行
EP02: 下がれ | 退后
EP02: ハガさん | 羽贺先生
EP02: スタンボムかよ | 烟雾弹吗
EP02: クッソ | 可恶
EP02: 追うぞ　サカイ | 我们追 酒井
EP02: 女連れでは相当遠くへはいけない | 他带着个女孩肯定跑不远
EP02: まあまあ　スミダさん　慌てなくてもいいっしょ | 没事 隅田先生 不用那么着急
EP02: すっげえ量のバグシート | 好多测试记录
EP02: こんなに真面目にデバッグしてるヤツまだいたんだ | 现在还有这么认真做测试的人啊
EP02: うっわ　当たり判定とか超几帳面にやってる | 甚至连击中判定都超级认真地记录
EP02: キッモ | 真恶心
EP02: こんなことしても無駄なのに | 做这些又没什么好处
EP02: まっ　とりあえず追いますか | 算了 先追上去吧
EP02: よし　これで外からは入ってこられないぞ | 好了 这样外面的人就进不来了
EP02: ニコラさん | 妮可拉小姐
EP02: いいですか　問題が起きたときはこのように速やかに現場を離れ | 听好了 出现问题时一定要像这样迅速离开现场
EP02: 落ち着いてから状況を整理したほうがいいんです | 等冷静下来 再理清状况
EP02: はい | 好的
EP02: ハガさん　それよりケガを | 比起这个 羽贺先生你的伤
EP02: これなら大丈… | 这倒是小事…
EP02: 大丈夫じゃないです | 哪里是小事
EP02: 治療しなきゃ死んじゃいますよ | 不赶快治疗可是会死的
EP02: イテ…死んじゃう　死んじゃう | 好痛…要死了 要死了
EP02: 早く抜かなきゃダメです | 必须快点拔出来
EP02: ホントに大丈夫なんですよ | 真的没问题
EP02: こういうときのために… | 为了这种情况…
