EP01: IN
EP01: おっす | 早
EP01: 変な投稿なかったかな | 我没发什么奇怪的东西吧
EP01: ぜひ　ぜひ | 当然没问题
EP01: ってかさあ　谷って　頭いいよな | 话说 谷可真聪明啊
EP01: 今日のグループワーク | 你说今天的小组作业吗
EP01: そういや　この前　塾通ってるとこ見たわ | 说起来 之前看到他去补习班了
EP01: 東大　行くん | 他想上东大吗
EP01: それは知らんけど | 这就不知道了
EP01: ほんと　すごいよね | 真厉害啊
EP01: マジで　俺らと住む世界違うよな | 和我们简直不在一个世界啊
EP01: ひとまとめにすんな | 别把我们混为一谈
EP01: こん中だと　鈴木がいちばん谷くんと仲いいじゃんね | 我们之中就铃木和谷同学的关系最好吧
EP01: そうかなあ | 是吗
EP01: 汚えな | 真恶心
EP01: 大丈夫　さっきから | 你没事吧 一直咳
EP01: ちょっとね　気管に物が詰まりやすいお年頃 | 正常 人上了年纪就容易被东西呛到
EP01: には早いだろ | 你还早吧
EP01: 好きな俳優ランキングで　スダケンが２連覇だって | 人气演员排行榜上 菅田健二连冠了
EP01: 女子って　やんちゃ系好きよな | 女生就喜欢坏坏的男生吧
EP01: いや　彼氏にするなら　スダケン一択っしょ | 找男朋友肯定要选菅田健吧
EP01: 出た　鈴木のスダケン推し | 铃木又开始推菅田健了
EP01: 空気を読むのは　周りのため | 读懂气氛 是为了身边的人
EP01: ではなく | 并非如此
EP01: 完全に自分のため | 完全是为了我自己
EP01: なのに… | 可是…
EP01: たまに疲れてしまうのは　なんでだろう | 为什么有时会累得喘不过气呢
EP01: いいかげん帰ろう | 差不多该回去了
EP01: 谷くん　今帰り　遅いね | 谷同学 你这么晚才回去吗
EP01: 今　絶対やばい顔してた | 我刚才的表情肯定丢死人了
EP01: 委員の提出物で残ってた | 我在弄委员会的材料
EP01: 谷くんって　家　どっち方面 | 谷同学 你家住哪边
EP01: 校門　出て右 | 出校门右转
EP01: 同じ | 我也是
EP01: 誰も見てない | 没人看到
EP01: 谷くん | 谷同学
EP01: やばい | 好紧张
EP01: 途中まで　一緒に帰ろ | 我们顺路一起走吧
EP01: 心臓　出そう | 心脏要跳出来了
EP01: 谷くんも家こっちだったんだね | 原来谷同学也住这边
EP01: 今まで　全然一緒になったことなかったけど | 之前一次都没碰到过
EP01: 私　いつも放課後遊び回ってるから | 我放学后总是到处玩
EP01: そりゃ　会わないか | 也难怪遇不到
EP01: 谷くん　委員会とかあるもんね | 谷同学还加入委员会了吧
EP01: っと　そうそう　この前「キンバ」行ったんだけど | 对了 之前我去了「汉堡王」
EP01: もう具がこんなで　全然パンに挟まりきってなくて | 里面的料都加成这样了 完全夹不住
EP01: もはや　パンは添えるだけ的な | 感觉面包都成配菜了
EP01: もう食べ方　全然分かんなかった | 完全不知道该怎么下口
EP01: いや　この話おもろいか | 等等 这个话题有趣吗
EP01: おいしかった | 好吃吗
EP01: うん　かなり　めちゃくちゃ | 嗯 很好吃 非常好吃
EP01: そうだ　谷くんも食べに行く　なんつって | 对了 谷同学也去吃吧 开玩笑的
EP01: いいよ | 可以啊
EP01: 今　なんて | 他说什么
EP01: 社交辞令　空気読んだ？ | 是客套话吗 他在顾虑我？
EP01: いや　谷くんそういう人じゃない | 不 谷同学不是这样的人
EP01: 何か | 回话啊
EP01: 何か返せ　私 | 我得赶紧回话啊
EP01: ダメだ　もう | 不行了
EP01: 心臓がバクバクし過ぎて　無理 | 心脏在狂跳 说不出口
EP01: えっと… | 那个…
EP01: うそ | 不会吧
EP01: なにこれ | 怎么回事
EP01: 夢？ | 是梦？
EP01: どうしよう　私　今… | 怎么办 我现在…
EP01: 絶対手汗やばい | 手上肯定全是汗
EP01: 心臓の音でかすぎて　耳の後ろまで脈打ってる | 心跳得好快 连耳朵后都扑通扑通地
EP01: 死ぬ？ | 我要死了？
EP01: そこからはもう　家までどう帰ったかなんて覚えてない | 那之后直到回家的事我都记不清了
EP01: ただい… | 我回来…
EP01: 玄関で寝んなよ | 别睡在门口啊
EP01: 兄ちゃん | 哥哥
EP01: キモっ | 好恶心
EP01: 手　つないだ | 我们牵手了
EP01: 食べないの | 你不吃吗
EP01: 食わねえなら　よこせ | 不吃的话给我吃
EP01: しかも　向こうから | 还是 他主动的
EP01: やばい　やばい　やばい | 完了 完了 完了
EP01: 明日　どんな顔して学校行けばいい | 我明天要怎么去上学啊
EP01: こんなの　ドキドキして眠れないよ | 心跳好快 根本睡不着啊
EP01: うるせえ | 吵死了
EP01: 痛て… | 痛…
EP01: 朝　うそ | 早上了 不会吧
EP01: っていうか　今何時 | 话说现在几点了
EP01: 無遅刻　無欠席だったのに | 我的全勤无迟到记录啊
EP01: なんで　みんなは | 咦 大家人呢
EP01: 母 | 妈妈
EP01: ってか　もう朝っていうより昼じゃん | 话说这不都已经中午了嘛
EP01: チンしよ | 热一下吧
EP01: 昼休みだけど　おっはよう | 虽然是午休 但早上好
EP01: 鈴木　遅刻　珍しい | 铃木会迟到 好稀奇
EP01: ってか　もう休めばよかったのに | 话说干脆请假呗
EP01: いや　選択体育は出たいじゃん | 我想上选修体育课嘛
EP01: バカだ | 傻不傻
EP01: 鈴木　来てんじゃん | 铃木 你来了
EP01: ういっす | 你好啊
EP01: なあ　お前　谷とつきあってんの | 话说你 在跟谷交往吗
EP01: なんか　昨日二人で帰ってんの見かけたって　ガパチョが言ってて | 河童说昨天看到你们俩一起回家了
EP01: 誰だよ　ガパチョ | 河童是谁啊
EP01: 見間違いじゃないの | 是不是看错了
EP01: ガパチョの視力　なめんなよ | 河童的视力可好了
EP01: 知らんがな | 谁知道啊
EP01: おいおいおい　待て　山田 | 喂喂喂 山田你等一下
EP01: 今　もしかしたら　両思いかもしれないが | 现在我们俩可能是两情相悦
EP01: まだ　確定事項ではないっていう | 但还没到能下定论的时候
EP01: いちばん絶妙な時期なんだ | 这正是最微妙的时期
EP01: いじって　面白み出てくるやつじゃないから | 这可不是能拿来开玩笑的事啊
EP01: こちとら　ガチだから | 我可是很认真的啊
EP01: っていうか | 话说
EP01: 「見かけた」って | 看到了是指
EP01: どこを | 看到了什么
EP01: えっと… | 那个…
EP01: そんなんじゃないから | 不是那么回事
EP01: あのさ | 那个
EP01: そこ　僕の席 | 这里是我的座位
EP01: ノート　取っていい | 能让我拿下本子吗
EP01: おう　ごめん　どくわ | 抱歉 我这就走
EP01: いいよ　次移動だから | 没事 反正要换教室
EP01: 最悪だ | 糟透了
EP01: 全力で否定してるところを聞かれてしまった | 我全力否定居然被他听见了
EP01: 失礼すぎる | 太失礼了
EP01: 違うんです　そんなつもりで言ったんじゃないんです | 不是这样的 我想说的不是那个意思
EP01: 谷くん　ごめんなさ… | 谷同学 对不起…
EP01: 無理　無理　無理　できない | 不行不行 我做不到
EP01: でも　早く謝りたい | 但我好想道歉
EP01: どうしよう | 怎么办
EP01: 谷くん　嫌な気分なってないかなあ | 谷同学会不会讨厌我了
EP01: やだな | 好烦啊
EP01: 鈴木　シャトル全然拾えてないじゃん | 铃木 你这样根本捡不起来球啊
EP01: もう　手で取りなよ | 干脆用手捡吧
EP01: なんで私はこんなにも… | 为什么我会这样…
EP01: 鈴木　ごめん | 抱歉 铃木
EP01: 話そう | 和他解释吧
EP01: 話しかけなきゃ　早く　誤解を | 赶紧说明白 把误会解除掉
EP01: でも　こんな… | 但要在这里…
EP01: みんながいる場で | 当着大家的面吗
EP01: 鈴木さん | 铃木同学
EP01: 谷くん… | 谷同学…
EP01: 昨日のこと　忘れて | 忘了昨天的事吧
EP01: ごめん | 抱歉
EP01: 鈴木　ポップコーンのクーポン今日までだから　行こう | 铃木 爆米花优惠券今天就到期了 一起去吃吧
EP01: ってか　お前　さっきも谷と話してなかった | 说起来 你刚刚在和谷聊天吗
EP01: やっぱ　仲よしじゃん | 看来关系不错啊
EP01: 鈴木？ | 铃木？
EP01: ありかも | 你也是吗
EP01: もう一回　もう一回 | 再来一次 再来一次
EP01: 私… | 我…
EP01: 谷くんのこと　好き | 喜欢谷同学
EP01: 片思いしてんの | 不过是单相思
EP01: で　昨日　一緒に帰ろうって　私が誘ったの | 昨天一起回家 是我主动邀请的
EP01: それって　なんかおかしい | 这有什么问题吗
EP01: 言えよ | 你早说啊
EP01: たまたま帰り道会っただけ的なんと思うじゃん | 我还以为你们是偶然碰到的呢
EP01: マジなやつとか思わねえじゃん | 谁知道你来真的啊
EP01: ちょっ　待って | 等等 这么说
EP01: 俺　昼休み　超野暮なこと言った気がする | 我午休那会好像说了些很不识趣的话
EP01: あんたはいつも野暮だよ | 你不一直都这样吗
EP01: で　谷くん帰ったけど　いいの | 现在谷同学走了 你想就这样吗
EP01: よくない | 当然不想
EP01: 走れば間に合うんじゃない | 跑过去还能追上吧
EP01: 大変だ　鈴木　行ってこい | 时间紧迫啊铃木 赶紧去吧
EP01: ポップコーンのことは気にしなくていいからね | 爆米花的事你就不用在意啦
EP01: ごめん　気にしてない | 抱歉 我压根就没在意
EP01: おい | 喂
EP01: 走れ　鈴木 | 跑起来 铃木
EP01: 名に恥じぬ速度見せつけろ | 跑慢了可对不起你的名字
EP01: 「スズキ」だけに | 你可是「铃木」啊
EP01: いや　遅っ | 好慢
EP01: かましたれ | 再加把劲儿
EP01: 前見ろよ | 注意看路哦
EP01: いっけ | 冲啊
EP01: なんだ | 什么呀
EP01: 自分の気持ちを言うのって | 说出自己的想法
EP01: こんな簡単なことだったんだ | 原来这么简单
EP01: 魔が差した　としか言いようがない | 鬼迷心窍了 我只能这样解释
EP01: 隣の席の鈴木さん　いつも話しかけてくるけど | 邻座的铃木同学总是和我搭话
EP01: それは　自分のことをなんとも思っていないからこそできる　軽いノリ | 或许是对我毫不在意才那般轻松吧
EP01: 「途中まで　一緒に帰ろ」 | 「我们顺路一起走吧」
EP01: そう　思ってたのに | 我曾是这么认为的
EP01: 今日　学校来ないのかと思った | 原以为她今天不会来学校了
EP01: 「そんなんじゃないから」 | 「不是那么回事」
EP01: いつの間にか　鈴木さんに話しかけられるのが日常になっていた | 不知何时 我已习惯她向我搭话
EP01: 彼女のいない一日は | 而她不在的这一天
EP01: 谷くん | 谷同学
EP01: あまりにも静かだ | 实在过于安静了
EP01: 好き | 我喜欢你
EP01: 谷くん | 谷同学
EP01: いつも　いつも　だるい絡み方してごめんなさい | 很抱歉平时总是莫名其妙向你搭话
EP01: 今日も　みんなの前で　あんな言い方してごめんなさい | 今天在同学面前说那种话 也很对不起
EP01: どうしたら　谷くんと話せるか分からなかった | 因为我不知道怎样才能和你说上话
EP01: 自分の気持ち　みんなにバレるのが怖かった | 我很害怕暴露自己的想法
EP01: 私　超ダサい人間なの | 我真是太差劲了
EP01: けど　谷くんと　もっと一緒にいたいです | 但是 我还是想多和你待在一起
EP01: 手　つないでくれたのも　めちゃくちゃうれしかったです | 那时你牵起我的手 我非常开心
EP01: うれしすぎて　昨日は眠れなくて寝坊しました | 开心到辗转反侧 以至于今天睡过头
EP01: いや　寝とるんかいって感じだけど | 虽说到头来还是睡着了吧
EP01: 鈴木さん | 铃木同学
EP01: 僕… | 我…
EP01: 鈴木さんがしゃべるのやめると　間が持たないような | 只要铃木同学不说话 气氛就会变尴尬
EP01: そんな　ダサい人間なんだけど | 我就是这么差劲的人
EP01: それでもいい | 即使这样 你也愿意吗
EP01: 今の顔　超かわいい | 你刚才的表情太可爱了
EP01: ちょっと | 等等
EP01: だって　そんなの | 这还用说吗
EP01: いいに決まってんじゃん | 明摆着愿意啊
EP01: なんか　僕が泣かせたみたい | 感觉是我惹你哭了呢
EP01: いや　そうでしょ　実質 | 本来就是嘛
EP01: マスカラ　取れるんだっけ | 睫毛膏 能擦下来的吧
EP01: ちゃんと　話聞いてくれてんじゃん | 你明明就有好好听我说话嘛
EP01: やばい　超ときめく | 天啊 太心动了
EP01: なんで　何に | 为什么 怎么了
EP01: もう | 你真是的
EP01: #小组作业
EP01: #分析我们城镇的地理问题并给出方案
EP01: #发掘观光资源
EP01: #既不会过于强硬
EP01: #也不会过于谦逊
EP01: #奇迹
EP01: #（总之聊点能产生共鸣的话题）
EP01: #个性派
EP01: #演员
EP01: #菅田健
EP01: #提问
EP01: #大概有过类似的对话…
EP01: #我家在这边…
EP01: #和我反方向
EP01: #啊
EP01: #谷同学 再见
EP01: #好 拜拜
EP01: #大家
EP01: #偶尔迟到一次也没事 早饭要记得吃哦
EP01: #迟到太久反而冷静下来了
EP01: #什么？
EP01: #后悔莫及
EP01: OUT

EP02: IN
EP02: おはよう | 早上好
EP02: いってきます | 我出门了
EP02: はい　いってらっしゃい | 好 路上小心
EP02: よっす　谷　おはよう | 哟 谷 早上好
EP02: 山田くん | 山田同学
EP02: Yes I'm 山田 | Yes I'm 山田
EP02: 鈴木さんから　何か聞いた | 铃木同学跟你说什么了吗
EP02: 察しいいね | 直觉真准
EP02: そりゃ　急にそのテンションでこられたら | 毕竟你突然这么兴奋地找我搭话
EP02: 「鈴木がいけるなら　俺のことも大丈夫だろ」理論 | 「铃木能交上的朋友我也行」这是我的理论
EP02: 誰かに言うつもりなかったんだけどな | 我原本没打算跟别人说的
EP02: なんで | 为什么
EP02: 鈴木さんのイメージが下がったりしたら　嫌だから | 我怕影响到铃木同学的形象
EP02: は？ | 啊？
EP02: なに | 你说什么
EP02: イメージ下がるほど　鈴木って上にいんの | 铃木的形象还有下降空间吗
EP02: ウケる | 有意思
EP02: 谷的には　そっか　恋だな | 不过也对 毕竟是恋爱嘛
EP02: 鈴木が「いい」っつってんならいいじゃん | 只要她自己没意见就好啦
EP02: つか　あいつ　谷のこと好きっつって | 话说她昨天 突然说自己喜欢谷
EP02: 教室　飛び出してったんだぜ　昨日 | 然后飞奔着就出教室了
EP02: んなもん　みんな応援するしかねえじゃん | 她都这样了 大家也很难不支持她
EP02: 佐藤も渡辺もガパチョも | 佐藤 渡边和河童都是
EP02: 最後　誰だろ | 最后那人是谁
EP02: でも　鈴木のイメージとか　今更変わんねえけど | 虽说事到如今 铃木的形象不会再有变化了
EP02: 俺の中で　谷のおもろみは上がったぜ | 但在我心目中 谷变得更有趣了哦
EP02: おもろみ？ | 有趣？
EP02: 山田くんって　しゃべりやすいね | 山田同学 跟你聊天挺轻松的
EP02: なに　褒めてもなんも出ねえぞ | 怎么了 夸我也没好处哦
EP02: 飴やるよ　はい | 给你糖 接着
EP02: 出るんだ | 真有好处
EP02: でね　そこでスダケンがヒロインをギュッてして | 然后 菅田健紧紧地抱住女主
EP02: 耳元で「好き」ってささやくシーンがめっちゃ最高で | 在她耳边轻声说「我喜欢你」那个场景我真的好喜欢
EP02: いや　何その顔 | 你们这是什么表情
EP02: 今　フィクションの話　すっごいどうでもいいんだけど | 我现在完全没心思听这些虚构的故事
EP02: それより　報告することあんでしょが | 比起这些 你还有别的事要汇报吧
EP02: 少女漫画の実写版マニアとして　どうしても語りたくて | 作为少女漫画真人版忠实粉丝 我真的很想聊嘛
EP02: そっちのマニア珍しいな | 你这爱好还挺小众
EP02: 鈴木　ずっとそうやって「スダケン　スダケン」って | 铃木总是把菅田健挂在嘴边
EP02: やんちゃ系好きみたいな感じだったのにさ | 好像偏爱这种坏坏的男生一样
EP02: 実際は | 实际呢
EP02: ねえ | 是吧
EP02: それよ | 就是
EP02: にしても… | 再说了…
EP02: 好きな人相手にあの絡み方はないわ | 哪有你这样跟心上人搭话的
EP02: 重々承知しております | 我已经知错了
EP02: 会話のキャッチボールじゃなくて　ストラックアウトだよ　あれは | 你们聊天哪里是相互传球 简直是单方面投球
EP02: この記事どう　参考に | 要不参考下这篇文章
EP02: 「聞き上手　自分のことばかり一方的にしゃべりたおすのはNG」 | 「善于倾听 不能总是单方面地说自己的事情」
EP02: 「質問上手　相手が話したい内容の質問をしてあげよう」 | 「学会提问 围绕对方感兴趣的话题提问」
EP02: 「相はしっかり　黙っていたら　不安な気持ちにさせちゃうかも」 | 「适当回应 没有反馈的对话可能令对方感到不安」
EP02: 「適度なタイミングで返してあげて」 | 「要在合适的时机给予回应」
EP02: 全然ダメじゃん　私 | 我一条都没做到啊
EP02: 「彼女」 | 「女朋友」
EP02: 「彼氏」 | 「男朋友」
EP02: 「カップル」 | 「情侣」
EP02: 急に自覚して興奮するのやめて | 别现在才意识到 开始兴奋
EP02: やばい　幸せ | 天啊 我好幸福
EP02: なんか　ちょっとムカついてきた | 感觉我有点生气了
EP02: でも　始まったということは　終わりもあるわけで | 但是 有开始就意味着会有结束
EP02: 情緒よ | 控制下情绪
EP02: いいぜ | 好啊
EP02: なってやるよ　最強の彼女ってやつに | 我一定要成为最强的女朋友
EP02: 無理に「ジャンプ」っぽくしないでいいよ | 不要强行搞得跟少年漫一样
EP02: で　最強の彼女は何するの | 所以 最强的女朋友要干什么
EP02: 今日「一緒に帰ろ」って言う | 今天要邀请他一起回家
EP02: かわいっ | 可爱
EP02: 谷くん | 谷同学
EP02: うちら　今までどおり　ここ居座ってて大丈夫 | 你不介意我们接着当电灯泡吧
EP02: ちょっ | 喂
EP02: 大丈夫　気にしないで | 没事 不用在意
EP02: だってよ　鈴木 | 铃木 他说没事
EP02: えん　さみしい | 诶 我会寂寞的
EP02: ドンマイ | 别在意啦
EP02: 大丈夫じゃないって言った方がよかった | 你觉得我该让他们走吗
EP02: うそです　ごめんなさい | 我开玩笑的 对不起
EP02: 谷くん　超直球 | 谷同学 好直接
EP02: ほら　鈴木言いなよ | 铃木 你跟他讲
EP02: 今 | 现在吗
EP02: あ…えっと | 啊…那个
EP02: ダメだ　意識を持っていかれる | 不好 意识要被夺走了
EP02: なんか　バトル始まってる | 要开始什么对战了吗
EP02: ええ　谷くん | 那个 谷同学
EP02: 今日　一緒に帰ろ | 今天 一起回家吧
EP02: 教室から一緒に帰るの　超緊張する | 从教室开始一起回家 好紧张
EP02: 私らも一緒にいるんだけどね | 还有我们呢
EP02: 鈴木　バイバイ | 拜拜 铃木
EP02: バイバイ | 拜拜
EP02: おつ | 拜
EP02: つ | 拜
EP02: れーな　練習頑張れ | 丽奈 加油练习哦
EP02: 鈴木　ボックス踏めるようになってんじゃん　変だけど | 铃木学会跳盒子步了啊 不过看着好奇怪
EP02: すげえな　誰も谷のこと見えてねえ | 太怪了 谁都没注意到谷
EP02: 意識して考えてみると | 仔细一想
EP02: 私　ほんとにしゃべりたいこと　ただ聞かせまくってたな | 我还真就只是一个劲说自己想说的
EP02: っていうか　谷くんの興味あることって何 | 话说谷同学到底对什么感兴趣
EP02: 全然分かんない | 我完全不知道
EP02: あれ　谷くん　何か言いたげじゃない | 奇怪 谷同学是不是有话想说
EP02: これは　まさに… | 这不正是…
EP02: なに　なんすか | 怎么了 有话想说吗
EP02: いや　えっと… | 不 那个…
EP02: なんでもない | 没什么
EP02: ありゃ | 奇怪
EP02: やっぱり　何か間違ってる気がする | 总感觉好像有什么不对劲
EP02: 考えれば考えるほど　どうしたらいいのか分からなくなってきちゃった | 越想越不明白 搞不清楚到底该怎么办了
EP02: 谷くんは今　私といて楽しいのか | 谷同学现在和我在一起开心吗
EP02: ここで別れか | 到这要分开了吗
EP02: 不完全燃焼感 | 感觉少了点什么
EP02: じゃあ… | 那就…
EP02: 鈴木さん　もう少し時間大丈夫 | 铃木同学 可以再陪我一会吗
EP02: 今朝　山田くんに話しかけられて | 今天早上山田同学找我搭话了
EP02: なに　なんか余計なこと言われた | 什么 他没说多余的话吧
EP02: いや　むしろ　すごくフレンドリーな感じで | 没 他给我的感觉非常友好
EP02: あいつ　なれなれしいな | 那家伙太自来熟了
EP02: それで　隠した方がいいのかなって思ってたから | 我一开始想的是 要不先瞒着大家
EP02: ちょっと　びっくりした | 所以有点惊讶
EP02: ごめん　隠した方がよかった | 抱歉 不告诉大家比较好吗
EP02: もう　昨日気持ちが盛り上がりに盛り上がって言っちゃった | 啊 昨天情绪实在是太激动 不小心说出口了
EP02: 盛り上がりに盛り上がってって… | 实在是太激动…
EP02: 笑ってる | 他笑了
EP02: いや　僕のことはどうでもいいよ　気にしないし | 没事 我不太在意这些 倒是无所谓
EP02: 鈴木さん　そういうの気になるって言ってたから　いいのかなって | 你说过自己在意周围人的看法 我想尊重你的意见
EP02: いや　もうマジ | 这可真是
EP02: 谷くん　そういうとこ… | 谷同学就是这一点…
EP02: 私　バカだ | 我可真傻
EP02: 誰かのためのルールや法則で頭がいっぱいで | 满脑子都是所谓的社交规则
EP02: ろくに会話もできなくて | 却不能和他好好对话
EP02: 結局　目の前の人　ちゃんと見れてないじゃん | 结果都没有正视眼前人
EP02: 気にしないよ　そんなの | 我也不在意这些
EP02: いや　ちょっと前の私なら　気にしてたかもだけど | 虽然不久前我都还有些在意啦
EP02: 好きなものは好きって　胸を張って生きたい | 喜欢就大大方方说 堂堂正正地活着
EP02: 今はそんな感じの人生方針です | 这才是我如今的人生信条
EP02: ごめん　私　今力強くスベった | 抱歉 我是不是把气氛搞砸了
EP02: いや | 没有
EP02: 鈴木さん　週末　暇 | 铃木同学 周末你有空吗
EP02: よかったらその　この前言ってた | 可以的话 我们去之前说的
EP02: ハンバーガー… | 汉堡…
EP02: ハンバーガー　食べ… | 吃汉堡…
EP02: やばい　ハモった　以心伝心じゃん | 绝了 太默契了 简直心有灵犀
EP02: 行けたらいいなって | 希望你能一起去
EP02: うんうんうん　行こう　絶対 | 嗯嗯 当然得去
EP02: どうせなら　ついでに遊びやすい所行こうよ | 反正要去 就顺便找个地方玩吧
EP02: じゃあ　調べて | 那我搜一下
EP02: ちょい　ちょい　ちょい　ちょい待ち | 等等等等 快站住
EP02: こら | 停下
EP02: ねえ　ちょっと | 等一下
EP02: 無理 | 不行了
EP02: うそでしょ　谷くん | 开玩笑吧谷同学
EP02: 最悪　ダサすぎ | 完了 太丢人了
EP02: えっぐいかわいいんだけど | 简直可爱得要命
EP02: 忘れて | 忘了吧
EP02: いや　無理 | 不行 忘不掉
EP02: 絶対忘れない | 绝对不会忘
EP02: 私がいないときに私のこと考えてくれてたとか　うれしすぎじゃん | 我不在的时候你也在想着我 我能不开心吗
